PAIR_ID,skycell_name,ECL_LAT_DEG,zodi_bin,coverage_bin,SKY_E_PER_PIX_PER_S,depth_median,mag_50_stars_default,mag_50_gals_default,mag_90_stars_default,mag_90_gals_default,mag_50_stars_k3,mag_50_gals_k3,mag_50_stars_k7,mag_50_stars_n16,mag_50_gals_n16,mag_50_stars_n9,mag_50_gals_n9
1,066m27x60y41,-47.3052547872581,low_zodi,low,0.5344610575271485,0.0,23.15,,,,23.75,,23.75,23.75,,23.75,
2,063m53x47y43,-71.29931472142178,low_zodi,low,0.43380755352612327,0.0,24.05,23.75,,,24.8,23.75,24.05,24.8375,23.75,25.4,23.75
3,059m27x38y48,-47.2996082048816,low_zodi,high,0.5317842203196332,2.0,24.725,24.15,24.5,23.9,24.95,24.2,24.53,25.325,24.29,25.67,24.380000000000003
4,065m50x70y32,-67.01136866876912,low_zodi,high,0.4432825571104777,6.0,25.3625,24.7625,25.175,24.575,25.4,24.65,25.125,25.8125,24.85,,24.95
5,048m06x64y42,-21.819559493324313,mid_zodi,low,0.8206806292510561,0.0,24.35,23.33,,,24.35,23.33,24.05,24.95,23.33,25.0,23.33
6,028m21x46y37,-29.999726960432476,mid_zodi,low,0.6832335540696667,2.0,24.575,24.05,,,24.68,23.8,24.2,24.8375,24.11,25.59285714285714,24.15
7,007m21x69y69,-21.289825346432483,mid_zodi,high,0.8212781732505845,8.0,25.2125,24.475,24.95,24.375,25.4,24.433333333333334,24.95,25.7375,24.65,,24.85
8,329m31x72y34,-15.162540895311945,mid_zodi,high,0.9747112096055733,10.0,25.2125,24.65,25.025,24.3875,25.325,24.5375,24.95,25.775,24.714285714285715,,24.77
11,017p00x68y28,-4.959529182243929,high_zodi,high,1.2493054764082303,6.0,25.0,24.380000000000003,24.85,24.2375,25.07,24.3,24.71,25.575,24.45,25.85,24.65
12,325m24x50y57,-9.977266138216974,high_zodi,high,1.127340008885386,10.0,25.3,24.59,25.025,24.425,25.34,24.55,24.992857142857144,25.79,24.75,,24.875
