SKYCELL_ID,skycell_name,ECL_LAT_DEG,zodi_bin,coverage_bin,SKY_E_PER_PIX_PER_S,depth_median,mag_50_stars_default,mag_50_gals_default,mag_90_stars_default,mag_90_gals_default,mag_50_stars_k3,mag_50_gals_k3,mag_50_stars_k7,mag_50_stars_n16,mag_50_gals_n16,mag_50_stars_n9,mag_50_gals_n9
1,066m27x58y55,-47.69837719360717,low_zodi,low,0.5307081999125541,10.0,25.4,24.75,25.25,24.65,25.5875,24.725,25.175,,25.01428571428572,,25.1
2,063m53x50y41,-71.03516249061322,low_zodi,low,0.4335395572189021,4.0,25.31,24.625,25.025,24.525,25.34,24.55,24.9875,25.775,24.71,,24.825
3,059m27x43y57,-47.14753678922536,low_zodi,high,0.533143016660876,4.0,25.2,24.56,25.1,24.35,25.31,24.54285714285714,24.89,25.7,24.6125,,24.8
4,065m50x70y32,-67.01136866876912,low_zodi,high,0.4432825571104777,6.0,25.3625,24.7625,25.175,24.575,25.4,24.65,25.125,25.8125,24.85,,24.95
5,017m15x33y57,-21.812501327060247,mid_zodi,low,0.8105005003923444,10.0,25.3,24.585714285714285,25.0,24.5,25.325,24.55,24.992857142857144,25.79,24.74,,24.875
6,003m31x40y48,-29.999142442960547,mid_zodi,low,0.6867122770775062,2.0,24.735714285714284,24.0,24.65,23.75,24.8,23.96,24.4625,25.2,24.0875,25.7,24.35
7,042m06x41y42,-21.32108955337586,mid_zodi,high,0.8247396995643661,10.0,25.35,24.725,25.25,24.575,25.375,24.7,25.125,25.925,24.85,,24.92
8,329m31x72y34,-15.162540895311945,mid_zodi,high,0.9747112096055733,10.0,25.2125,24.65,25.025,24.3875,25.325,24.5375,24.95,25.775,24.714285714285715,,24.77
9,339m15x60y34,-4.557584468674733,high_zodi,low,1.2769596473336913,10.0,25.175,24.4625,25.0,24.275,25.25,24.425,24.9,25.7,24.68,,24.725
11,346m12x64y68,-5.017026623816298,high_zodi,high,1.2461741951051581,8.0,25.16,24.5,25.0,24.35,25.275,24.44,24.875,25.7,24.62,,24.68
12,325m24x50y57,-9.977266138216974,high_zodi,high,1.127340008885386,10.0,25.3,24.59,25.025,24.425,25.34,24.55,24.992857142857144,25.79,24.75,,24.875
